,item_name,item_volumn,type
383,damizle red ginseng honey herb tonic tea,['1.13oz(32g) 12 sticks'],asian
384,shinsyu-ichi instant miso soup - tofu,[],asian
385,chung jung one hong cho blueberry 30.41 fl.oz(900ml),['0.41 fl.oz(900ml)'],asian
386,littlesheep hot pot soup base spicy,['8.29oz(235g)'],asian
387,haioreum roasted sesame seed 8oz(226g),[],asian
388,chung woo grandshell apple,['9.6oz(273g)'],asian
389,chung jung one prepared mustard,['0.2oz(95g)'],asian
390,chung jung one naturally brewed jorim soy sauce 29.63oz(840ml),['9.63oz(840ml)'],asian
391,sunshine moonlight koshihikari short grain rice 15lb(6.8kg),['6.8kg)'],asian
392,haio oriental style noodles 3lb(1.4kg),['1.4kg)'],asian
393,haioreum soy milk plain,['6.76oz(200ml) 24 packs'],asian
394,chung jung one honey mustard sauce 11.29oz(320g),['1.29oz(320g)'],asian
395,chung jung one sunchang 100% brown rice red pepper paste less spicy,['2.2lb(1kg)'],asian
396,shinsyu-ichi instant miso soup wakame seaweed,['6.21oz(176g)'],asian
397,choripdong green tea with brown rice,['0.05oz(1.5g) 100 tea bags'],asian
398,haioreum jujube tea with honey,['2.2lb(1kg)'],asian
399,damizle red ginseng honey jujube tea,['1.13oz(32g) 12 sticks'],asian
400,haio red pepper powder fine,['2.2lb(1kg)'],asian
401,dongwon yangban roasted laver sprinkled with sesame seeds,['0.17oz(5g) 16 packs'],asian
402,sempio gourmet seasoning sauce (stir-fry) 450g (15.8oz),['5.8oz)'],asian
403,raw nature red bean 4lb(1.81kg),['1.81kg)'],asian
404,crown caramel corn maple big size,['5.43oz(154g)'],asian
405,haio soybean paste,['2.2lb(1kg)'],asian
406,paldo king cup noodle namja ramyun,['3.7oz(105g)'],asian
407,haio yaki sushinori premium roasted laver 10.6oz(300g) 100 sheets,['0.6oz(300g) 100 sheets'],asian
408,lotte kancho choco biscuit cup,['3.35oz(95g)'],asian
409,organic farm organic red bean 3lb(1.36kg),['1.36kg)'],asian
410,nongshim shin ramyun noodle soup big bowl,['4.02oz(114g)'],asian
411,paldo king cup noodle beef flavor with vegetable,['3.7oz(105g)'],asian
412,chung jung one seafood spice mix,['8.82oz(250g)'],asian
413,ottogi vermont curry gold hot,['3.52oz(100g)'],asian
414,chung jung one chinese style spicy seafood soup powder,['3.3oz(96g)'],asian
415,chung jung one organic cane sugar dark 1lb(454g),[],asian
416,chung jung one organic cane sugar 1lb(454g),[],asian
417,jingmailang instant noodle chicken & mushroom flavour,['3.85oz(109g) 5 packs'],asian
418,jingmailang instant noodle spicy hot beef flavour,['3.91oz(111g) 5 packs'],asian
419,lotte choco pie banana,['0.98oz(28g) 12 pcs'],asian
420,himorn vietnamese spring roll sauce 10oz(295ml),[],asian
421,lee kum kee premium oyster flavored sauce 18oz(510g),[],asian
422,ottogi bonito soup base concentrate 12.17oz(360ml),['2.17oz(360ml)'],asian
423,paldo hwa ramen hot & spicy with soy peptide,['4.23oz(120g) 5 packs'],asian
424,paldo pororo strawberry flavor juice drink,['7.95 fl.oz(235ml)'],asian
425,pulmuone air dried spicy ramen,['3.38oz(96g) 4 packs'],asian
426,beksul plum flavored extract,['2.2lb(1kg)'],asian
427,namyang french cafe coffee mix arabica gold label 100 sticks,[],asian
428,milkita vanilla shake candy,['4.23oz(120g)'],asian
429,vita chrysanthemum tea,['8.45oz(250ml) pack of 6'],asian
430,haio red pepper powder fine 4lb(1.82kg),['1.82kg)'],asian
431,raw nature peeled pearl barley 4lb(64oz),[],asian
432,samyang samyang ramen cheese,['4.23oz(120g) 5 packs'],asian
433,house foods java curry sauce mix hot,['6.52oz(185g)'],asian
434,haru haru brown rice & brown sweet rice,['4.4lb(2kg)'],asian
435,chung jung one roasted solar salt,['1.1lb(500g)'],asian
436,paldo volcano chicken noodle,['4.93oz(140g) 4 packs'],asian
437,crown sobok sobok soboro,['8.47oz(240g)'],asian
438,sempio gourmet seasoning sauce for soup 14.1oz(400g),['4.1oz(400g)'],asian
439,samyang hot chicken flavor sauce,['7.05oz(200g)'],asian
440,organic farm organic mixed beans 3lb(1.36kg),['1.36kg)'],asian
441,vita lime lemon tea,['8.45 fl.oz(250ml) 6 packs'],asian
442,choripdong mixed 7 grains 5lb(2.27 kg),['2.27 kg)'],asian
443,haioreum korean style bbq beef bulgogi sauce 17.6oz(520ml),['7.6oz(520ml)'],asian
444,bull dog tonkatsu sauce - vegetable & fruit (semi-sweet) 10.1oz(300ml),['0.1oz(300ml)'],asian
445,chongga kimchi ramen,['4.23oz(140g) 6 cups'],asian
446,jingmailang instant noodle beef flavor & sour pickled cabbage,['4.24oz(120g) 5 packs'],asian
447,asha foods hakka wide noodle spicy sesame oil flavor,['3.35oz(95g) 5 packs'],asian
448,milkita strawberry shake candy,['4.23oz(120g)'],asian
449,ohsung kimchi flavor bowl noodle soup with soy peptide,['3.03oz(86g) 12 cups'],asian
450,m.y. san sky flakes crackers 28.21oz(800g),['8.21oz(800g)'],asian
451,chung jung one oyster sauce spicy seafood flavor,['8.8oz(250g)'],asian
452,prima taste singapore laksa la mian noodle,['6.5oz(185g) 4 packs'],asian
453,prima taste singapore chili crab flavored la mian noodle,['5.6oz(160g) 4 packs'],asian
454,haio gompyo wheat flour,['5.5lb(2.5kg)'],asian
455,paldo pororo milk flavor juice drink,['7.95floz(235ml)'],asian
456,ito en oi ocha jasmine tea 16.9 fl.oz(500ml),['6.9 fl.oz(500ml)'],asian
457,raw nature whole grain brown rice 15lb(6.8kg),['6.8kg)'],asian
458,organic farm organic soy bean 3lb(1.36kg),['1.36kg)'],asian
459,asha foods mandarin medium noodle onion sauce,['3.35oz(95g) 5 packs'],asian
460,haru haru brown rice,['4.4lb(2kg)'],asian
461,shirakiku zaru soba,['2.99lb(1.36kg)'],asian
462,glico pocky chocolate banana,['2.47oz(70g)'],asian
463,xiang piao piao lan fong yuen milk tea,['9.47oz(280ml)'],asian
464,vita ceylon lemon tea,['8.45 fl.oz(250ml) 6 packs'],asian
465,ottogi jin ramen cup hot flavor,['3.88oz(110g)'],asian
466,jingmailang instant noodle stew beef flavour,['3.88oz(110g) 5 packs'],asian
467,vita honey chrysanthemum tea,['8.45 fl.oz(250ml) 6 packs'],asian
468,lee kum kee panda oyster sauce 18oz(510g),[],asian
469,jingmailang instant noodle spicy beef flavour,['4.13oz(117g) 5 packs'],asian
470,danongwon walnuts almonds job's tears tea,['0.63oz(18g) 40 packs'],asian
471,paldo virac cinnamon punch,['8.04oz(238ml) 12 cans'],asian
472,littlesheep hot pot soup base original,['4.59oz(130g)'],asian
473,lee kum kee premium soy sauce 16.9 fl.oz(500ml),['6.9 fl.oz(500ml)'],asian
474,aje coffee hazelnut flavor,['7.77oz(230ml)'],asian
475,ohsung hot & spicy bowl noodle soup with soy peptide,['3.03oz(86g) 12 cups'],asian
476,ottogi tuna rice porridge 10.05oz(285g),['0.05oz(285g)'],asian
477,sunshine moonlight koshihikari short grain rice,['4.4lb(2kg)'],asian
478,crown caramel corns peanuts snack big size,['6.34oz(180g)'],asian
479,haru haru mai brown sweet rice 15lb(6.8kg),['6.8kg)'],asian
480,organic farm organic green mung bean 3lb(1.36kg),['1.36kg)'],asian
481,glico pocky chocolate,['2.47oz(70g)'],asian
482,shirakiku fruits jelly drink lychee flavor,['5.3oz(150g)'],asian
483,jingmailang instant noodle stew pork flavour,['3.98oz(113g) 5 packs'],asian
484,choripdong shitake mushroom 1lb(16oz),[],asian
485,jingyizhen sachima sesame flavor soft flour cakes 18.27oz(518g),['8.27oz(518g)'],asian
486,kcnh roasted green tea seaweed gift box,['0.7oz(20g) 10 packs'],asian
487,yi feng sliced noodles 21oz(596g),[],asian
488,orion seafood shaped crispy snack 4 packs multi pack,['5.64oz(160g)'],asian
489,glico pocky strawberry,['2.47oz(70g)'],asian
490,haitai baked potato stick,['3.8oz(108g)'],asian
491,s&c 3:15pm earl grey milk tea,['7.06oz(200g) 10 bags'],asian
492,sangaria strawberry milk,['8.96 fl.oz(265ml)'],asian
493,milkita honeydew shake candy,['4.23oz(120g)'],asian
494,shirakiku fruits jelly drink grape flavor,['5.3oz(150g)'],asian
495,chung jung one jewel of sinan island sea salt,['5.5lb(2.5kg)'],asian
496,ito en oi ocha genmai tea 16.9 fl.oz(500ml),['6.9 fl.oz(500ml)'],asian
497,s&c 3:15pm roasted milk tea,['7.06oz(200g) 10 bags'],asian
498,shirakiku fruits jelly drink peach flavor,['5.3oz(150g)'],asian
499,raw nature nutri whole grain brown rice 3lb(1.36kg),['1.36kg)'],asian
500,arizona farm honey bear 12oz(340g),[],asian
501,house foods java curry sauce mix med hot,['6.52oz(185g)'],asian
502,crown shinzzang big size 10.37oz(294g),['0.37oz(294g)'],asian
503,shirakiku fruits jelly drink orange flavor,['5.3oz(150g)'],asian
504,cj haechandle doenjang (soybean paste),['1.1lb(500g)'],asian
505,cj bibigo sweet pumpkin porridge with red bean,['9.88oz(280g)'],asian
506,ito en black milk tea 11.8 fl.oz(350ml),['1.8 fl.oz(350ml)'],asian
507,cha cha sunflower seeds all natural,['8.82oz(250g)'],asian
508,double dragon jasmine white scented rice - 20lbs,[],asian
509,shinsyu-ichi instant miso soup spinach,['5.76oz(172.8g)'],asian
510,ottogi cooked black rice,['7.4oz(210g) 3 packs'],asian
511,ottogi anchovy noodles sauce 12.17oz(360ml),['2.17oz(360ml)'],asian
512,samyang extreme spicy hot chicken flavor sauce,['7.05oz(200g)'],asian
513,glico pocky cookies & cream,['2.47oz(70g)'],asian
514,shirakiku fruits jelly drink aloe flavor,['5.3oz(150g)'],asian
515,milkita banana shake candy,['4.23oz(120g)'],asian
516,haioreum crushed sesame seed 8oz(226g),[],asian
517,s&c 3:15pm coffee milk tea,['7.06oz(200g) 10 bags'],asian
518,ottogi tomato ketchup,['1.1lb(500g)'],asian
519,nongshim fried chicken flavor snack,['2.32oz(66g)'],asian
520,cj korean bbq sauce beef kalbi marnade for ribs,['1.85lb(840g)'],asian
521,paldo bul nak pan stirfried noodle cup,['2.49oz(70g) 6 cups'],asian
522,vita less sugar chrysanthemum tea,['8.45oz(250ml) pack of 6'],asian
523,ajinomoto hondashi bonito soup stock,['2.2lb(1kg)'],asian
524,greenation coarse red pepper powder 5lb(2.26kg),['2.26kg)'],asian
525,s&c 3:15pm rose fruity milk tea,['7.06oz(200g) 10 bags'],asian
526,ottogi buckwheat noodles soba tsuyu 12.17oz(360ml),['2.17oz(360ml)'],asian
527,ottogi frying mix,['2.2lb(1kg)'],asian
528,kewpie yuzu & kosho dressing 8 fl.oz(236ml),[],asian
529,maxim mocha gold mild coffee mix,['0.42oz(12g) 20 sticks'],asian
530,bonjuk abalone mushroom rice porridge,['1.1lb(500g)'],asian
531,cj dasida beef flavored soup stock ,['2.2lb(1kg)'],asian
532,haioreum 100% natural sea salt (premium coarse salt) 5lb(2.27kg),['2.27kg)'],asian
533,samhak roasted black sesame 8oz(226g),[],asian
534,jingyizhen sachima egg flavor soft flour cakes 18.27oz(518g),['8.27oz(518g)'],asian
535,jack links teriyaki beef jerky,['2.85oz(81g)'],asian
536,milkita chocolate shake candy,['4.23oz(120g)'],asian
537,bonjuk tuna vegetable rice porridge,['1.1lb(500g)'],asian
538,sempio soy sauce soup base anchovy 11.82oz(350ml),['1.82oz(350ml)'],asian
539,beksul sweet korean pancake mix 14.10oz(400g),['4.10oz(400g)'],asian
540,ottogi vermont curry gold medium hot,['3.52oz(100g)'],asian
541,suhyup badaaechan dried squid 6 pcs 14.82oz(420g),['4.82oz(420g)'],asian
542,organic farm organic brown sweet rice 15lb(6.8kg),['6.8kg)'],asian
543,fu chung village dried noodles garlic sesame sauce 17.63oz(500g),['7.63oz(500g)'],asian
544,organic farm organic red kidney bean 3lb(1.36kg),['1.36kg)'],asian
545,want want shelly senbei rice cracker 18.34oz(520g),['8.34oz(520g)'],asian
546,ito en matcha milk tea 11.8 fl.oz(350ml),['1.8 fl.oz(350ml)'],asian
547,suhyup badaaechan dried squid 3 pcs,['7.41oz(210g)'],asian
548,organic farm 100% organic sweet rice 3lb(1.36kg),['1.36kg)'],asian
549,ottogi vermont curry gold mild,['3.52oz(100g)'],asian
550,i want coconut milk 13.5oz(400ml),['3.5oz(400ml)'],asian
551,lacroix grapefruit sparkling water 12 fl.oz(355ml) 4 cans,[],asian
552,ito en oi ocha hoji tea 16.9 fl.oz(500ml),['6.9 fl.oz(500ml)'],asian
553,fu chung village dried noodles spicy sichuan pepper and vinegar 16.23oz(460g),['6.23oz(460g)'],asian
554,lacroix peach-pear sparkling water 12 fl.oz(355ml) 4 cans,[],asian
555,ito en matcha green tea peppermint tea bags,['0.05oz(1.5g) 20 tea bags'],asian
556,calbee frugra (fruit & granola) 17oz(482g),[],asian
557,ito en matcha green tea ginger tea bags,['0.05oz(1.5g) 20 tea bags'],asian
558,lacroix lemon sparkling water 12 fl.oz(355ml) 4 cans,[],asian
559,cj haechandle gochujang hot pepper paste,['1.1lb(500g)'],asian
560,glami dawn 808 (alcohol detoxifying herb) box,['4.73oz(140ml) 6 cans'],asian
561,bonjuk sweet pumpkin rice porridge,['1.1lb(500g)'],asian
562,toreta hydration drink 16.9oz(500ml),['6.9oz(500ml)'],asian
563,lacroix mango sparkling water 12 fl.oz(355ml) 4 cans,[],asian
564,ito en matcha green tea lemongrass tea bags,['0.05oz(1.5g) 20 tea bags'],asian
565,haioreum soybean flour fermented 1lb(453g),[],asian
566,maxim original coffee mix,['0.42oz(12g) 100 sticks'],asian
567,choripdong premium ginger tea,['0.4oz(12g) 15ea'],asian
568,paldo pororo tropical fruits flavor juice drink,['7.95 fl.oz(235ml)'],asian
569,ito en matcha green tea chamomile tea bags,['0.05oz(1.5g) 20 tea bags'],asian
570,lee kum kee sriracha mayo 15oz(443ml),[],asian
571,huy fong foods sambal oelek ground fresh chili paste 18oz(510g),[],asian
572,cha cha sunflower seeds caramel flavor,['5.64oz(159g)'],asian
573,morn sweet chili sauce for cooking 295ml (342g),[],asian
574,ito en mugicha barley tea bags 54 sachets 15.2oz(432g),['5.2oz(432g)'],asian
575,cha cha sunflower seeds chinese pecan flavor,['5.64oz(160g)'],asian
576,abc mango jelly 49.4oz(1.4kg),['9.4oz(1.4kg)'],asian
577,o grain premium organic adzuki bean,['3.5lb(1.57kg)'],asian
578,ito en oi ocha dark green tea 16.9 fl.oz(500ml),['6.9 fl.oz(500ml)'],asian
579,lee kum kee seasoned soy sauce for seafood 14 fl.oz(410ml),[],asian
580,himorn peanut rice paper roll sauce,['8.1oz(230g)'],asian
581,abc lychee jelly 49.4oz(1.4kg),['9.4oz(1.4kg)'],asian
582,jingyizhen sachima raisin flavor soft flour cakes 18.27oz(518g),['8.27oz(518g)'],asian
583,glami dawn 808 (alcohol detoxifying herb) box,['4.73oz(140ml) 24 cans'],asian
584,jack links original beef jerkey,['2.85oz(81g)'],asian
585,wong lo kat herbal tea 10.9 fl.oz(310ml),['0.9 fl.oz(310ml)'],asian
586,lao gan ma chili oil,['7.4oz(210g)'],asian
587,raw nature wild sweet rice 4lb(1.81kg),['1.81kg)'],asian
588,lao gan ma chili oil black bean,['9.87oz(280g)'],asian
589,vitasoy melon flavored soy drink,['8.45 fl.oz(250ml) 6 packs'],asian
590,vitasoy coconut soy drink,['8.45 fl.oz(250ml) 6 packs'],asian
591,cha cha roasted premium sunflower seeds,['3.45oz(98g)'],asian
592,vitasoy black soy drink,['8.45 fl.oz(250ml) 6 packs'],asian
593,vitasoy malt soy drink,['8.45 fl.oz(250ml) x 6 pcs'],asian
594,vita hong kong style milk tea,['8.45 fl.oz(250ml) x 6 pcs'],asian
595,cj seasoned bai top shell 14oz(400g),[],asian
596,glami dawn 808 (alcohol detoxifying herb) box,['4.73oz(140ml) 96 cans'],asian
597,bonjuk sweet red bean rice porridge,['1.1lb(500g)'],asian
598,glami dawn 808 (alcohol detoxifying herb) box,['4.73oz(140ml) 10 cans'],asian
599,popcorners popped corn chips white cheddar 5oz(142g),[],asian
600,san pellegrino sparkling beverage pompelmo grapefruit 11.15 fl.oz(330ml),['1.15 fl.oz(330ml)'],asian
601,san pellegrino sparkling beverage prickly pear and orange 11.15 fl.oz(330ml),['1.15 fl.oz(330ml)'],asian
602,san pellegrino sparkling beverage pomegranate and orange 11.15 fl.oz(330ml),['1.15 fl.oz(330ml)'],asian
603,san pellegrino sparkling beverage aranciata orange 11.15 fl.oz(330ml),['1.15 fl.oz(330ml)'],asian
604,san pellegrino sparkling beverage aranciata rossa blood orange 11.15 fl.oz(330ml),['1.15 fl.oz(330ml)'],asian
605,sg food premium fried kelp,['2.12oz(60g)'],asian
606,xiang piao piao meco thai lemon tea 13.52 fl.oz(400ml),['3.52 fl.oz(400ml)'],asian
607,xiang piao piao meco kumquat&lemon tea 13.52 fl.oz(400ml),['3.52 fl.oz(400ml)'],asian
608,xiang piao piao meco peach pink grapefruit tea 13.52 fl.oz(400ml),['3.52 fl.oz(400ml)'],asian
609,haitai matdongsan peanut crunch snack big size 10.58oz(300g),['0.58oz(300g)'],asian
610,glico pejoy chocolate cream filled biscuit sticks family pack,['4.24oz(120g) 8 packs'],asian
611,nangman brother cook tok rice cup soup,['4.69oz(133g)'],asian
612,nangman brother cook tok rice cup original,['5.75oz(163g)'],asian
613,samyang extra hot chicken flavor ramen,['4.94oz(140g) 5 packs'],asian
614,popcorners popped corn chips sweet chili 5oz(142g),[],asian
615,hormel spam 25% less sodium 12oz(340g),[],asian
616,popcorners popped corn chips sea salt 5oz(142g),[],asian
617,popcorners popped corn chips kettle corn 5oz(142g),[],asian
618,hormel spam classic 12oz(340g),[],asian
619,gilim black sugar milktea almond,['6.7oz(190g)'],asian
620,gilim baked corn almond,['7.4oz(210g)'],asian
621,gilim hot & spicy chicken almond,['7.4oz(210g)'],asian
622,gilim wasabi almond,['7.4oz(210g)'],asian
623,gilim honey butter almond,['8.81oz(250g)'],asian
624,jinmi food black bean paste with smoky flavor 10.58oz(300g),['0.58oz(300g)'],asian
625,jinmi food black bean paste 10.58oz(300g),['0.58oz(300g)'],asian
626,ottogi jin ramen mild flavor,['4.23oz(120g) 18 packs'],asian
627,bonjuk spicy seafood and vegetable porridge,['1.1lb(500g)'],asian
628,bonjuk octopus and kimchi porridge,['1.1lb(500g)'],asian
629,bonjuk vegetable porridge,['1.1lb(500g)'],asian
630,bonjuk seafood porridge,['1.1lb(500g)'],asian
631,lee kum kee chili garlic sauce 13oz(368g),[],asian
632,lee kum kee black bean garlic sauce 13oz(368g),[],asian
633,lee kum kee chili bean sauce 13oz(368g),[],asian
634,lee kum kee hoisin sauce 20oz(567g),[],asian
635,hormel spam garlic 12oz(340g),[],asian
636,haidilao hot pot soup base spicy flavor,['7.76oz(220g)'],asian
637,cj white sugar,['2.2lb(1kg)'],asian
638,crispy green freeze-dried fruit asian pear,['0.35oz(10g) 6 packs'],asian
639,crispy green freeze-dried fruit pineapples,['0.35oz(10g) 6 packs'],asian
640,crispy green freeze-dried fruit mango,['0.35oz(10g) 6 packs'],asian
641,crispy green freeze-dried fruit apple,['0.35oz(10g) 6 packs'],asian
642,crispy green freeze-dried fruit strawberry,['0.32oz(9g) 6 packs'],asian
643,pirouline creme filled wafers strawberry flavored 14.1oz(397g),['4.1oz(397g)'],asian
644,rao's homemade vodka sauce 24oz(680g),[],asian
645,rao's homemade tomato basil sauce 24oz(680g),[],asian
646,rao's homemade marinara sauce 24oz(680g),[],asian
647,beksul kimchi pancake mix cup,['7.4oz(210g)'],asian
648,samyang corn hot chicken flavor ramen,['4.59oz(130g) 5 packs'],asian
649,paldo stir-fried chicken noodle with spicy soy sauce,['4.58oz(130g) 4 packs'],asian
650,lotte korean hovenia tea 16.9oz(500ml),['6.9oz(500ml)'],asian
651,nongshim      air dried shin ramyun light,['3.4oz(97g) 4 packs'],asian
652,sg food seasoned laver with nuts,['5.29oz(150g)'],asian
653,chung jung one o'food soybean paste stew sauce,['4.94oz(140g)'],asian
654,nongshim shrimp flavored chips big size,['7.05oz(200g)'],asian
655,chung jung one o'food bulgogi sauce,['4.94oz(140g)'],asian
656,nongshim neoguri mild,['4.23oz(120g) 4 packs'],asian
657,beksul vermicelli,['2.2lb(1kg)'],asian
658,loacker      quadratini raspberry yogurt,['7.76oz(220g)'],asian
659,paldo bul jjajang,['7.16oz(203g) 4 packs'],asian
660,matcha love sweetened matcha can,['5.2 fl.oz(155ml)'],asian
661,matcha love unsweetened matcha can,['5.2 fl.oz(155ml)'],asian
662,ito en oi ocha unsweetened green tea can 11.5 fl.oz(340ml),['1.5 fl.oz(340ml)'],asian
663,jay street coffee coffee shot unsweetened black,['6.4 fl.oz(190ml)'],asian
664,ito en matcha green tea traditional tea bags,['0.05oz(1.5g) 50 tea bags'],asian
665,ito en oi ocha genmai tea tea bags,['0.07oz(2g) 20 tea bags'],asian
666,ito en oi ocha green tea tea bags,['0.07oz(2g) 20 tea bags'],asian
667,ito en matcha green tea powder unsweetened 2oz(56g),[],asian
668,ito en matcha green tea sweet powder 7oz(200g),[],asian
669,ito en organic oi ocha unsweetened green tea 16.9 fl.oz(500ml),['6.9 fl.oz(500ml)'],asian
670,ito en oi ocha unsweetened cold brew matcha green tea 16.9 fl.oz(500ml),['6.9 fl.oz(500ml)'],asian
671,ito en mugicha unsweetened barley tea 16.9 fl.oz(500ml),['6.9 fl.oz(500ml)'],asian
672,ito en oi ocha uji matcha unsweetened green tea 16.9 fl.oz(500ml),['6.9 fl.oz(500ml)'],asian
673,loacker      quadratini matcha green tea,['7.76oz(220g)'],asian
674,loacker      quadratini vanilla,['8.82oz(250g)'],asian
675,loacker      quadratini hazelnut,['8.82oz(250g)'],asian
676,maeil maeil soy milk plain,['6.4 fl.oz(190ml) 6 packs'],asian
677,goodies roasted unsalted sunflower seeds 12oz(340g),[],asian
678,goodies salted roasted cashews 10.5oz(298g),['0.5oz(298g)'],asian
679,goodies walnuts 8oz(226g),[],asian
680,ottogi cooked rice and dried pollack soup with bean sprouts,['9.57oz(271.5g)'],asian
681,ottogi cooked rice and teriyaki tuna with mayonnaise,['7.65oz(217g)'],asian
682,ottogi cooked rice and fish roe sauce with kimchi,['6.77oz(192g)'],asian
683,goodies unsalted roasted pistachios 9oz(255g),[],asian
684,goodies wasabi green peas 9oz(255g),[],asian
685,hong yuan guava candy 12.33oz(349g),['2.33oz(349g)'],asian
686,paldo jumbo pack noodle,['4.23oz(120g) 5 packs'],asian
687,jinga beef bone soup 16.9 fl.oz(500ml),['6.9 fl.oz(500ml)'],asian
688,nongshim sweet potato snack flavored snack,['1.93oz(55g)'],asian
689,goodies brazil nuts 9oz(255g),[],asian
690,pirouline creme filled wafers pumpkin spice flavored 14.1oz(397g),['4.1oz(397g)'],asian
691,tai mung bean vermicelli 17.6oz(500g),['7.6oz(500g)'],asian
692,tai mung bean vermicelli flat 17.6oz(500g),['7.6oz(500g)'],asian
693,chongga kimchi pancake mix,['5.64oz(160g)'],asian
694,bonne maman wild blueberry preserves 13oz(370g),[],asian
695,bonne maman strawberry preserves 13oz(370g),[],asian
696,bonne maman raspberry preserves 13oz(370g),[],asian
697,cooksee rice noodle with non-spicy seafood flavored soup,['3.25oz(92g) 6 packs'],asian
698,korean traditional candy,['3.35oz(95g)'],asian
699,want want milk drink,['8.3 fl.oz(250ml)'],asian
700,liu po hot pot spicy soup base (black) 20.46oz(580g),['0.46oz(580g)'],asian
701,liu po hot pot spicy soup base (yellow) 20.46oz(580g),['0.46oz(580g)'],asian
702,ye shu coconut juice ,['8.2 fl.oz(245ml) 6 packs'],asian
703,lotte refreshing water 2% peach,['8.12 fl.oz(240ml)'],asian
